,会社名,仕事内容,対象となる方,勤務地,給与,初年度年収
156,株式会社修優舘 | 基本残業ゼロ｜賞与年3回+業績給｜大阪府緊急雇用対策に賛同,【コロナ対策認証で三ツ星に認定】◆小・中学生への個別指導および教室運営を担当 ★定時で教室が自動消灯します。残業＆仕事の持ち帰りはありません,＼オープニング募集もあり／◆未経験・第二新卒歓迎 ◆20～30代活躍中 ◆資格・職歴不問 ◆大卒以上（学部・学科不問）★社会人・正社員デビューもOK,大阪府（大阪市、豊中市、箕面市、吹田市、茨木市、高槻市、池田市）または兵庫県（伊丹市、西宮市）の各…,月給21万5000円以上（一律手当1万円含む）＋インセン＋賞与年3回 ★半数以上の講師が月収30万円以上＆年…,360万円～700万円
157,株式会社ビッグモーター | 全国募集／転勤なし／面接1回／月8～10日休み／業界No.1,【未経験でも安心の研修！】凹んだり、キズがついたクルマの修復やパーツ交換などをお任せします。★インセンで高収入可能／年収例500万円（2年目）,【未経験・第二新卒歓迎！】＼『クルマが好き』『手に職つけたい』『収入を上げたい』そんな方はぜひご応募ください♪／　※経歴・学歴・年齢など不問,【転勤なし】 ☆全国募集 ☆マイカー通勤OK ☆U・Iターン歓迎 ■関東エリア（東京都／千葉県／埼…,"月給228,600円以上＋インセン（月平均10〜20万円）＋諸手当 ※スキル・経験等を考慮し、決定いたします…",300万円～1000万円
158,東京エムケイ株式会社 | 《未経験でも研修3ヶ月計100万円の保証給》★有給取得率80％超,【事前予約やリピーター中心×長距離送迎＝高収入！平均年収817万円】◆ベンツやBMW・レクサスなど高級車でお客様を送迎 ★男性の育休/時短勤務実績,【未経験歓迎！年齢不問】＼面接1回／◆普通免許取得3年以上(AT限定可) ★車好き歓迎 ★今年の夏に開催！【世界的なイベント】に関わるレアなお仕事！,★首都圏（東京都・神奈川県・千葉県）が担当エリア ★転勤なし 【汐留営業所】 東京都港区東新橋1-…,▼3ヶ月の保証給<合計100万円！>＋各種お祝い金有 1ヶ月目:月給30万円 2・3ヶ月目:月給35万円 4ヵ月目以…,450万円～550万円
159,株式会社エージェントゲート | Web面談実施中★年間休日130日★Python／Java／Rubyなど案件多数,【案件の強制なし！やりたい言語を最優先！大手プライム多数】◆スマホアプリ・業務システム・ゲームなどのプログラミング★技術力を高めて収入UP！,【平均年齢28歳/経験の浅い方◎】◆PGの実務経験(半年以上) ★プログラミングに専念できる環境 ★PG経験2年目で入社し、月給10万円アップの実例あり！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
160,さか電工株式会社 | ★配偶者のバースデー休暇など、社員の家族も大切にする会社★,官公庁・商業施設・ビルなどの電気工事。★日帰り＆夜間作業なしなので、家庭と両立しながら長く活躍できる！ ★一人一台ハイエースを支給,《未経験・無資格もOK／経験者歓迎》■要普免 ■年齢・学歴・経験不問 ☆資格取得すれば報奨金もあり！3～5万円の昇給も。頑張りを評価します！,《転勤なし／面接交通費支給／引越し代一部補助》 滋賀県甲賀市水口町南林口71 ★車・バイク・自転車…,"経験者…月給30万円〜（前職給与保証） 未経験…月給22万5,000円〜41万円 ※年齢、経験、能力を考慮の上…",300万円～600万円
161,株式会社ロジカル | コロナ禍・景気にも左右されない安定企業◆面接1回で内定,《信頼と実績があるから提案しやすい》担当ルートのお客様に向けた、パルシステムブランドの食品や日用品の提案やご案内をお願いします。,《未経験・第二新卒歓迎》学歴・経歴・男女・転職回数不問★安定企業で長く働きたい方、暮らしに身近なお仕事を探している方を歓迎！★平均年齢32歳,【駐車場完備でマイカー通勤OK！】希望等を考慮し、東京・神奈川・埼玉の各事業所に配属します。 ＼転…,"月給26万7,823円以上＋諸手当＋歩合給 ※固定残業代8万1,323円・月60時間分を含みます（超過分は別途支給…",350万円～400万円
162,株式会社ルクールプラス | ＊土日祝休み＊月残業20h以下＊年休120日以上＊転勤なし＊,【年4回の昇給チャンス】◎自社サービス『BIZAID』を中心として法人顧客向け提案営業をお任せします。★知識経験ゼロからスタートOK！,【学歴や営業/社会人経験一切必要ナシ】◎早く成長したい！新しいことに挑戦したい方なら大歓迎！★20代中心フレッシュな営業メンバーが活躍中！,■本社 東京都千代田区 神田神保町3-12-3 神保町スリービル5Ｆ 東京メトロ半蔵門線・都営新宿…,"月給23万4,000円〜35万5,000円＋インセンティブ＋各種手当 ※経験・スキルなどを考慮のうえ、決定します…",
163,株式会社エージェントゲート | 定着率94%★全員Web面談実施中★年間休日130日,《常時1600案件/働き方の希望も最大限考慮！》 大手クライアント企業のネットワーク・サーバの運用・保守をお任せ※上流工程にも携われます。,【経験の浅い方歓迎！ブランクのある方もOK】 ◆インフラエンジニア経験(運用・保守のみOK) ◎土日祝休み＆残業も月平均5～10hとほぼナシで生活安定！,首都圏（東京23区／丸の内・品川・東京・新宿・渋谷・六本木・秋葉原・池袋／横浜／大宮／千葉）などの…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
164,ケイアイスター不動産株式会社 | 東証一部上場：完全週休2日制・営業部門の残業月平均20時間以内,【学ぶ＆育てる＆高収入の実現をチームでサポート】お取引のある地域の不動産会社さんからの情報提供をもとに、住宅や街づくりのイメージを企画立案！,【未経験歓迎・第二新卒OK】◆要普免（AT限定可）★アパレル・販売・美容師・バリスタ出身者も活躍中！インセンを除いて年収70万円UPなどの声も★,★勤務地は希望を考慮します。 ★東京/埼玉/神奈川/千葉/群馬/栃木/茨城/宮城/福島/静岡/愛知…,月給21万円〜24.5万円 ＋歩合給＋各種手当（役職・家族・資格等）+ 昇給・賞与 ※経験・年齢を考慮し、当…,400万円～700万円
165,株式会社i click | 業績好調｜テレアポ一切なしの営業スタイル｜成約率の高さが自慢,《アポは専任スタッフが獲得&チームプレーのやりやすさ》★問い合わせのあったお客様に対する提案をお任せ ★成約率が高いため平均月収75万円！,《未経験者、第二新卒も大歓迎》◎学歴不問 ◎要普免 ★はじめての正社員という方もぜひご応募を！ ★定着率が非常に高いので久しぶりの中途採用です,《転勤無し&通勤に便利！本町にある本社または梅田支店勤務です》 ※営業エリアは関西一円で、直行直帰…,《選べる給与体系》 ★固定給をしっかりGET型： 月給35万円〜＋諸手当 ※未経験でも月給35万円スタート…,400万円～1000万円
166,株式会社エージェントゲート | 【全員Web面談実施中】★月給55万円以上も可能★社員定着率94％,【上流工程から開発プロセスを一気通貫】 ◆大手証券会社向け業務システムの開発業務をお任せします ◎経験とスキルを存分に生かして活躍できます。,【前職給与も考慮しますが、経験・スキルを正当に給与で反映します】 ◆Javaを用いた開発経験5年以上※要件定義・設計の経験をお持ちの方優遇,神奈川県横浜市鶴見区のプロジェクト 他、首都圏（東京23/丸の内・品川・東京・新宿・渋谷・六本木・…,経験3年以上の方／月給30万円〜 経験1年以上〜3年未満／月給25万円〜35万円 経験1年未満／月給23万円〜30…,300万円～1000万円
167,ケイアイスター不動産株式会社 | 《即日内定もあり！》東証一部上場企業：月収70万円も目指せる！,【イチから学べる環境も魅力！なぜ稼げるかはお楽しみ♪】「全ての人に持ち家を」をミッションにしている会社でお客様に最適な住まいを提案します。,【第二新卒歓迎＆若手活躍中！／完全週休2日制・残業月平均20H以内】★未経験者・経験者問わず幅広く採用のチャンス！まずは積極的にご応募ください★,★各営業所（埼玉・茨城・栃木・群馬）に配属となります。 ★マイカー通勤OK！駐車場も完備しています…,月給21万円〜24.5万円 ＋歩合給＋各種手当（役職・家族・資格等）+ 昇給・賞与 ※経験・年齢を考慮し、当…,400万円～700万円
168,コスモエコロジー株式会社 | #完全週休2日制 #残業ほぼナシ #平均年齢28歳 #女性社員が40％,【充実の研修で安心♪】★「売る」のではなく「興味を持っていただく」仕事 ★大手メーカーのエコ製品のPRをお任せ【ノルマも残業もありません！】,【面接保証・何よりも人柄を重視♪】◆45歳以下の方 ◆学歴・経験不問 ◆人と話すのが好きな方 ★先輩のほぼ全員が未経験スタート！,★大久保駅より徒歩3分／新宿駅より徒歩9分 ★転勤なし ★直行直帰OK ★UIターン歓迎 ■勤務エ…,◆月給25万円以上 ＋ インセンティブ ＋ 諸手当 ※経験やスキルを考慮のうえ、決定いたします 〈モデル…,350万円～900万円
169,"洛陽交運株式会社 | ヤサカグループ／月額17,000円～即入寮できる社宅あり！",【舞妓さんを乗せることも！京都らしさが味わえる】タクシードライバーをお任せ ◆敷地内に必要な設備を完備→効率的に働ける◆働く時間は自分で決定,【Web面接OK！未経験歓迎・第二新卒・ブランクのある方もOK】◆普免（AT限定可）取得後3年以上 ◎全車AT ◎二種免許の取得は全額会社負担（規定あり）,UIターン歓迎！遠方からのご応募もOK！ ※転勤なし！ ※説明会実施中 本社／京都府京都市南区西九…,月給20万円（当社規定による） （未経験者は入社後半年間、月給20万円を保証） ※一定額を上回る運送収入…,
170,株式会社PCM | 大阪はスターティングメンバ―募集★TEL問合せOK(086-527-5345),【 手厚いサポート＆教育体制あり 】キャリアアップがスピーディー！役職につけば『月収100万円』も夢じゃない　※将来的にはジョブチェンジもOK,【 未経験歓迎！学歴不問 】★条件に合う方「全員と」面接実施 ★必須は普通免許だけ！（AT限定可）意欲があればOK ★電気工事士の資格がある方優遇,＼2021年3月 大阪支店いよいよ始動／ 全国各地の現場へ直行直帰のスタイルです！ ※転勤なし／マ…,"月給 300,000円 〜 600,000円 ＋ 諸手当 ※上記は最低保証額です。 ※経験者の場合はスキルに応じて優遇…",350万円～600万円
171,日本レーヴ株式会社 | #完全週休2日#残業ほぼなし#30代が中心に活躍中,《内勤も営業同行も♪多彩に活躍できる》営業アシスタントとして事務作業やお客様への電話対応、営業同行などを通したフォロー業務をお任せします,【未経験～業界経験者まで幅広く歓迎します！】未経験の方はじっくりイチから育成◎営業アシスタント・営業経験をお持ちの方は優遇します！,◆本社／大阪府大阪市淀川区宮原1-19-23 ※転勤なし ※リモートワークの場合もあります（業務の…,◆月給25万円以上 ※経験スキルに応じて優遇します ※試用期間6ヶ月あり（期間中は月給23万円／5％以上昇…,300万円～450万円
172,有限会社エフォール | ≪全員面接＊働き方選べます≫初期費用0円★年齢不問,◆大手通販サイトなどの荷物を軽自動車（AT限定可）で配送します。◆車両リース・メンテナンスがあるため、車を持っていなくてもOK！,◆未経験歓迎！年齢不問！AT免許だけで、仕事が始められる！◆稼ぎたい？休みたい？自分のスタイルで働けます。◆要普免（AT限定可）,"★直行直帰OK ★転勤ナシ ※各エリアごとの配送です。 愛知,岐阜,大阪,兵庫,福井,東京,石川の…",完全出来高制 ※1件あたり150円〜180円 〓〓＜月収70万円近くも可能！＞〓〓 ※荷物単価180円の場合（…,100万円～1000万円
173,株式会社ジーアフター | 【大型店新規オープン】＊千葉県トップクラスの中古車販売店,"【仕上がりの美しさに感動する仕事！】◆キレイに洗車をして""コーティング""を施し、仕入れた中古車を新車並みの品質にレベルアップさせる仕事です",【未経験・第二新卒歓迎】◆要普免(AT限定可) ◆40歳までの方(*) ★学歴や経験などは一切不問！手に職をつけたい方や稼げるようになりたい方を歓迎！,千葉県・埼玉県などの店舗及び事業所 初期配属は希望を考慮します！ 全国展開へ向けて積極採用中！ 【…,月給25万円〜 ＋ インセンティブ ※経験や年齢等を考慮し、当社規定により決定致します ※試用期間3ヶ…,400万円～500万円
